user_id,churn_probability
992,0.9591811
166,0.94397265
173,0.94397265
580,0.9317096
975,0.9314517
742,0.92620003
428,0.92095876
823,0.92095876
929,0.91872555
748,0.89844465
122,0.88630545
335,0.8836474
478,0.8727962
752,0.8667298
638,0.8558833
773,0.8472148
267,0.8167868
820,0.81452835
714,0.80618614
20,0.79990935
433,0.79806846
880,0.79645807
447,0.7917799
387,0.79065293
1000,0.7881398
347,0.7841202
503,0.777895
645,0.7565548
812,0.7424835
257,0.7360045
760,0.72461236
737,0.72231585
552,0.72231585
132,0.7077062
448,0.7002136
831,0.69011116
671,0.66503274
311,0.66503274
846,0.6632532
378,0.6469294
361,0.6312278
196,0.6073947
205,0.6073947
910,0.60013556
413,0.5788449
479,0.5755974
66,0.55177975
642,0.5420551
203,0.5412775
79,0.5373112
364,0.5163789
82,0.49525857
266,0.49110103
494,0.4841534
925,0.4830255
576,0.4830255
696,0.4801436
810,0.4759456
291,0.47484773
751,0.45003855
115,0.4395333
133,0.43194163
599,0.4290293
705,0.42859608
328,0.4284308
613,0.41886503
90,0.4112717
715,0.40875322
865,0.39450312
509,0.39450312
118,0.38964713
438,0.37909675
65,0.37646276
476,0.3715508
982,0.35098702
281,0.34912008
717,0.33727527
180,0.33640486
987,0.33205622
486,0.33132213
661,0.31699592
214,0.31685674
833,0.3046561
729,0.30378664
377,0.3006863
768,0.29545832
837,0.29346853
461,0.2891953
707,0.28765255
402,0.28644848
495,0.28414756
946,0.28329402
164,0.278435
964,0.2698596
379,0.26673114
325,0.26659143
712,0.26395476
897,0.2635718
601,0.25718385
772,0.2458868
107,0.23409623
126,0.23115718
304,0.2296601
670,0.2245338
839,0.22443974
48,0.22354317
610,0.2173987
152,0.21356708
453,0.21320665
620,0.21213907
922,0.20110571
632,0.19748473
63,0.1850599
381,0.1850599
33,0.18422043
105,0.18248278
44,0.17998695
237,0.17819452
800,0.1779741
977,0.17683071
310,0.16012537
787,0.15530062
259,0.15236008
321,0.15021694
409,0.14754045
842,0.14607275
644,0.13609749
861,0.12651843
740,0.12390524
324,0.1179865
121,0.1179865
845,0.11706793
903,0.1138044
26,0.11194354
117,0.10635805
218,0.10026425
488,0.09925729
168,0.09502989
23,0.09462279
675,0.092410624
97,0.09174329
254,0.08998591
782,0.08951151
565,0.08947033
665,0.08874005
221,0.08644712
960,0.085146844
43,0.08331275
468,0.083248794
177,0.08281851
618,0.08174235
627,0.079894125
210,0.07817018
847,0.077519774
467,0.07712406
198,0.07681441
10,0.0765695
382,0.075445056
588,0.07369131
597,0.07329631
668,0.06996477
5,0.06988382
980,0.06951016
472,0.067929864
159,0.067929864
439,0.067929864
450,0.06734061
938,0.06621158
388,0.06589186
799,0.06584734
172,0.06582856
289,0.0637961
504,0.06364852
872,0.0630548
446,0.061308384
882,0.058845937
734,0.058552265
603,0.056069553
578,0.05478555
192,0.05408436
394,0.05402428
393,0.05236125
994,0.04879862
901,0.043055058
657,0.041523457
911,0.04099089
526,0.040935397
763,0.040392995
853,0.036848426
263,0.03291416
253,0.03119415
138,0.029606998
445,0.02804029
629,0.025446355
75,0.02477175
843,0.02120775
825,0.009192526
316,0.008569777
956,0.006942868
123,0.0049091578
